"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"iPad is in 8.5+ out of 10 cosmetic condition!",0,159.99,"Used","0","None","Black","16","iPad 2",0,10001,"Train"
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,"Used","1","Verizon","Unknown","16","iPad 2",1,10002,"Train"
"",0,199.99,"Used","0","None","White","16","iPad 4",1,10003,"Train"
"",0,235,"New other (see details)","0","None","Unknown","16","iPad mini 2",0,10004,"Train"
"Please feel free to buy. All products have been thoroughly inspected, cleaned and tested to be 100% ",0,199.99,"Seller refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",0,10005,"Train"
"",1,175,"Used","1","AT&T","Space Gray","32","iPad mini 2",1,10006,"Train"
"",1,100,"New","0","None","Space Gray","16","iPad mini",1,10007,"Train"
"",0,329.99,"New","0","None","White","16","iPad mini 3",0,10008,"Train"
"",1,0.99,"Used","1","Unknown","White","64","iPad 1",1,10009,"Train"
"",1,150,"Used","0","None","White","32","iPad 4",1,10010,"Train"
"good condition, minor wear and tear on body some light scratches on screen. functions great.",0,199.99,"Used","0","None","Black","16","iPad 4",1,10011,"Train"
"",0,99.99,"Seller refurbished","0","None","White","16","iPad 1",0,10012,"Train"
"GOOD CONDITION..CLEAN ICLOUD..NO LOCKS..CLEAN IMEI..This tablet has been fully tested and works ",1,20,"Used","1","AT&T","Black","16","iPad 1",1,10013,"Train"
"",0,75,"Used","0","None","Black","16","iPad 1",1,10014,"Train"
"New Digitizer installed. Some scratches on back + small dent on top right and bottom left corners.",0,199.99,"Seller refurbished","0","None","White","16","iPad 4",1,10015,"Train"
"",0,344.95,"New","0","None","Space Gray","16","iPad Air",0,10016,"Train"
"Great working iPad.  Very minor surface scratches on back as pictured.  Other very light scratching ",0,184.5,"Used","0","None","Black","16","iPad 3",1,10017,"Train"
"We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ",0,209.98,"Seller refurbished","0","None","White","16","iPad mini 2",0,10018,"Train"
"",0,375,"Used","0","None","White","16","iPad Air 2",1,10019,"Train"
"",0,95,"Used","0","None","Black","32","iPad 1",0,10020,"Train"
"Crack on screen.",0,125,"Used","0","None","Unknown","16","iPad 2",1,10021,"Train"
"Great working iPad.  Only light scratching consistent with typical wear as pictured.",0,187.5,"Used","0","None","Black","16","iPad 3",0,10022,"Train"
"FULLY FUNCTIONAL, CLEAN ESN",0,129.99,"Used","1","Verizon","Black","16","iPad 2",0,10023,"Train"
