"UniqueID","startprice","startprice.log10.predict."
10001,159.99,2.18111231464647
10003,199.99,2.35109630024876
10004,235,2.33916835960574
10005,199.99,2.38947094492886
10008,329.99,2.54326632981387
10011,199.99,2.27836398555123
10012,99.99,1.99985314068617
10014,75,1.87410077382278
10015,199.99,2.31827875027021
10016,344.95,2.49015979344792
10017,184.5,2.30010676894797
10018,209.98,2.27549202124293
10019,375,2.66011915506338
10020,95,1.96768665610222
10021,125,2.08827759592105
10022,187.5,2.26485629231864
10023,129.99,2.1381774159018
10024,329.99,2.64520546322829
10025,149,2.59686888835268
10026,238.8,2.25160035127293
10027,84.99,2.01972414633155
10028,249.99,2.30189290830186
10029,309.99,2.36900037100356
10030,319.95,2.51245743464924
10031,185,2.25941223469288
10032,90,1.93750691850824
10033,299.98,2.38545319957136
10035,444.99,2.62338460511758
10036,480,2.574212113948
10037,225,2.30974231928605
10038,79,1.96862121125529
10039,189.85,2.13145140932801
10040,159.99,2.26309123296704
10041,199.99,2.30688569545131
10042,115,1.98070911502638
10043,289.95,2.33652082337298
10044,499.95,2.53121335627388
10045,199.99,2.29464253491962
10046,550,2.69176670206524
10047,209.99,2.35942572872859
10048,185,2.25936579461235
10051,614.99,2.74562090840439
10052,259,2.30520398080444
10053,240,2.36827532723519
10054,69.99,1.8773263006103
10055,398.99,2.45233937541898
10057,84.99,2.18644812357876
10058,269.99,2.25343439743334
10059,295,2.24285766769139
10060,210,2.31287544827604
10063,304.89,2.38030264785851
10065,195,2.24431115379893
10066,319,2.65974475213008
10067,389.99,2.50400530511158
10068,79.99,1.9358232496358
10069,254.99,2.37503439790079
10071,159.95,2.30384608103865
10072,279.99,2.46564513251839
10076,130,2.07879311814061
10077,119.95,2.29079600718049
10079,269.94,2.3423953191319
10080,380,2.56841902978559
10082,169.95,2.22457155738979
10083,319.85,2.44880172130902
10084,329.99,2.45035715187571
10085,249.95,2.10977519191544
10086,130,2.07787493241898
10087,550,2.67987648886029
10088,169.98,2.28928530777932
10089,149.99,2.16802460556767
10093,194.29,2.30921489774517
10094,193.15,2.38695378213139
10096,489.99,2.52446915095033
10099,134.95,2.14045713114016
10100,199.99,2.30653711806063
10101,264.99,2.39517755616335
10102,349,2.45306668477611
10104,295,2.45371637609556
10105,199,2.35291147896631
10106,279.95,2.26429493257213
10107,149.95,2.0355899429573
10109,339.99,2.50820519876762
10110,99,1.98967976448351
10111,320,2.42778205883329
10115,250,2.20130914618752
10116,549.99,2.74909890557024
10117,215,2.35952912101752
10121,249.99,2.31116548600173
10122,299.99,2.34401954431233
10126,344,2.34625825136413
10128,250,2.20202960500653
10129,175,2.26714051184346
10131,150,2.1921035387508
10132,119.99,2.2291522649318
10133,225,2.27042344129448
10136,389.99,2.43232965651527
10139,274.99,2.35082353089484
10144,215,2.3796439334561
10146,187.5,2.30398989270264
10147,189.99,2.25395917034438
10148,229,2.33084059996023
10149,159.93,2.22181286767299
10153,639.99,2.7176587741688
10155,284.99,2.30255018783324
10158,139.98,2.19297583963212
10159,199,2.3576110100312
10160,294.99,2.43874425328327
10161,499,2.71250021896703
10163,299.99,2.42140929407123
10164,270,2.41416907384258
10167,399.99,2.38684429119837
10168,279.95,2.26389714294329
10170,329,2.44198720404133
10171,187.5,2.30034631178494
10172,269,2.41788174825782
10178,184.95,2.29318176428383
10183,319,2.5060908191093
10184,15,2.20591974740636
10188,299,2.45449109560059
10191,215,2.28364050043323
10197,404.99,2.43874502972908
10200,89.99,2.18679683417342
10204,309.99,2.43695227287297
10205,415,2.59865594120966
10206,200,2.12064175102066
10207,269,2.41874061887322
10212,299,2.45380174734577
10215,374.95,2.502954619633
10216,189,2.29138481674448
10217,75,1.87408331423252
10218,175,2.25029142011284
10219,480,2.5991553135168
10221,465.99,2.41602818696351
10222,399.99,2.27837083515713
10229,187.99,2.31041387388487
10232,425,2.71433946903871
10234,339,2.54501815198758
10235,164.99,2.19581763421033
10236,319.95,2.38463915074237
10239,398.99,2.45243782984126
10244,155,2.4923689210668
10248,89.99,2.11651765313874
10249,114.94,1.98566570403542
10252,159.99,2.20866243864356
10257,499.99,2.61948986739328
10259,150,2.19230953398877
10260,334.99,2.64808340627049
10266,320,2.3728728093172
10267,335,2.58176445598698
10272,305,2.48258470938827
10274,144.99,2.19618085927505
10277,300,2.44545829205446
10279,399,2.36806430275674
10282,199.99,2.36665612786965
10287,439.99,2.65536833286835
10306,80,1.87411089008236
10308,325,2.52613014142574
10312,305,2.48406458935304
10315,350,2.48868073509262
10316,187.99,2.31092425250294
10317,109.98,1.99715794218724
10319,345,2.55513382302178
10320,350,2.49130736309184
10325,124,2.20687496268992
10328,80,1.89120653355698
10332,375,2.40582870885002
10335,250,2.23819806499518
10343,130,2.12142359111134
10350,75,1.99545692298961
10353,292.5,2.45066735491599
10359,275,2.38395723969937
10362,189.99,2.3253231339528
10366,99.99,2.02359604854301
10367,199.99,2.28608167855334
10369,339,2.47199172146718
10374,185.49,2.12954779984288
10375,350,2.52232473624294
10377,179.96,2.17312238309883
10381,389.99,2.6461597211055
10382,95,1.98252129548175
10385,15,2.26825609316049
10386,165,2.36600788099011
10390,15,2.26921951857206
10394,200,2.30347763846921
10409,175,2.2499841877879
10414,280,2.32921638870166
10424,249.99,2.32332947063622
10426,310,2.45863132065561
10428,458,2.6879035853508
10429,265,2.37890916337247
10432,228.59,2.36413339862516
10433,249.97,2.27274053936177
10434,249.99,2.26552709390258
10436,500,2.64603571155915
10440,340,2.26835166284036
10451,185,2.40122246445237
10453,325,2.54033495020949
10458,229.99,2.27293445767606
10461,400,2.49198589703639
10465,188.99,2.30951085621569
10466,99.94,1.98516062845665
10469,225,2.36323103576968
10471,110,1.96949062363285
10482,115,2.16531127189383
10483,249,2.39522029096551
10485,252.99,2.25906267620945
10490,408,2.57197064733387
10494,124.95,1.9637629486905
10498,89.99,2.20357445024933
10500,315,2.35911497567499
10503,184.99,2.29564548855005
10506,200,2.25551363080395
10508,199.99,2.35134447989441
10512,79,1.93880302579596
10513,399.99,2.52957279679171
10515,210,2.34142667754278
10518,154,2.35921830868482
10520,169.99,2.16656102332457
10522,195,2.34904283810261
10523,425,2.66243742853808
10525,300,2.40123426823763
10534,89,2.01313614060934
10537,14,2.26854521904147
10539,149,2.34600140676346
10544,475,2.64415435739205
10546,394.99,2.10260650380458
10547,175,2.20657161546084
10550,399.99,2.59733025366164
10554,234,2.35005161525818
10555,349.99,2.57338308321096
10557,170,2.24605192834004
10559,325,2.29383045248504
10560,140,2.39274432845205
10562,147.59,2.18553027274915
10563,399.99,2.37474961364165
10565,499,2.45293985189236
10568,82.95,1.90924739248409
10574,289.99,2.33886097962914
10575,219.99,2.30614323880442
10583,275,2.37913440377383
10586,198,2.04132343840555
10587,300,2.39633900725391
10590,410,2.64482809022215
10591,150,2.20624606266434
10594,60,2.74027400193653
10596,155,2.38123001145982
10597,90,2.48365706667047
10601,699.95,2.42532390660928
10605,550,2.45149351373431
10609,80,2.45549535811302
10610,155,2.17328296438913
10611,150,2.33477451445342
10612,209,2.31156252901169
10613,439.99,2.5550259915182
10614,349.99,2.48946041825423
10622,208.99,2.34373993443365
10625,559.99,2.77559379532232
10629,229.98,2.23471334540326
10630,180,2.26020756110117
10632,120,2.40113864780117
10637,560,2.71479044860344
10638,159.95,2.00819795814381
10643,560,2.70413292831622
10644,549.9,2.67920373931732
10645,80,2.05671333545916
10647,449.99,2.49280637182248
10649,227.95,2.24081059951729
10650,785,2.73701287757604
10651,186,2.48290002144911
10655,349.95,2.41107690189313
10660,329.99,2.54376233774105
10663,250,2.23756056945815
10664,180,2.22818178038831
10665,127.99,2.19935841731875
10667,89.99,2.2036124222644
10668,469.99,2.45375273415804
10674,222.72,2.28675413972419
10675,280,2.42596617475963
10676,285,2.40573866185478
10679,387.45,2.29535008083047
10681,175,2.24139829567932
10682,438,2.50288747650507
10686,199,2.35526382425012
10689,200,2.26707776171452
10690,185,2.39712382557685
10693,259.99,2.38173917368985
10700,319.99,2.43750993366347
10701,194.95,2.26351312076903
10707,429,2.25055877342459
