"UniqueID","startprice","startprice.log10.predict."
10002,0.99,0.422938821301992
10006,175,1.84757222421997
10007,100,1.92377899379885
10009,0.99,0.474322729959332
10010,150,1.85312437107415
10013,20,1.67834377721276
10034,49,2.83916530174802
10049,100,1.25751756471031
10050,279.99,1.39627569115477
10056,175,1.7561379103649
10061,160,1.92076223001708
10062,0.99,0.422938821301992
10064,0.99,0.422938821301992
10070,115,1.76664625769434
10073,99.99,1.3659529244359
10074,75,1.61707587946795
10075,135,1.74530283243097
10078,50,1.70851019332302
10081,0.99,0.48370358120145
10090,305,2.09217600021515
10091,0.01,1.53921526615747
10092,450,2.06944148766346
10095,62,1.70851019332302
10097,99,2.73103162323605
10098,45,1.48356229473904
10103,160,1.84935202097474
10108,290,2.08911779944767
10112,255,1.74949568173345
10113,114.99,0.40886183060333
10114,250,1.76009536771144
10118,325,1.92076223001708
10119,199.99,1.07208254066767
10120,250,1.86696313214773
10123,159.99,1.49072676879162
10124,9.99,1.29826260458009
10125,125,1.85312437107415
10127,100,1.61707587946795
10130,100,1.66583080833944
10134,49.49,1.86447533387832
10135,225,1.73565692065986
10137,255,1.85312437107415
10138,25,1.58769454069217
10140,0.99,0.4808893832056
10141,185,1.52985432243708
10142,250,1.73131482958732
10143,99,2.8472890178687
10145,58,1.79929193611513
10150,89.95,1.89902657522736
10151,60,1.6689814932427
10152,0.99,0.3957368879592
10154,40,1.56268017290122
10156,29.99,1.27545796831578
10157,49.99,1.27545796831578
10162,50,1.70851019332302
10165,80,1.49151402042874
10166,0.01,1.6442226068048
10169,50,1.70851019332302
10173,50,1.74530283243097
10174,0.99,0.433180682521246
10175,65,1.70851019332302
10176,89.99,1.40368492127881
10177,149,2.75514021801699
10179,99,2.57918731322291
10180,225,1.84757222421997
10181,200,1.82932791616201
10182,100,1.70851019332302
10185,99,2.65639951022049
10186,99.99,1.5720404907094
10187,174.95,1.08123837780147
10189,0.99,0.373825620730365
10190,50,1.70851019332302
10192,62,1.70851019332302
10193,250,1.64407336503473
10194,100,1.67839032108357
10195,200,1.67010650159394
10196,99.99,1.43496322365038
10198,0.99,0.585920406771753
10199,50,1.86862428513844
10201,49.99,1.35002424186122
10202,100,1.83673714628604
10203,79.99,1.83036147436133
10208,184.99,0.407695503451139
10209,50,1.70851019332302
10210,165,1.73131482958732
10211,25,1.59039017184578
10213,99,2.74783382407556
10214,99,2.73103162323605
10220,0.99,0.16349947491747
10223,0.99,0.16349947491747
10224,50,1.70851019332302
10225,70,1.59382362258088
10226,1,1.65187882966329
10227,299.99,1.48699522822624
10228,150,1.73131482958732
10230,42,1.70851019332302
10231,399.99,1.68548893664402
10233,0.99,0.392269267346383
10237,99,2.53634266472832
10238,0.99,0.48370358120145
10240,55,1.70851019332302
10241,99.99,0.826376716434531
10242,175,1.73131482958732
10243,140,1.73131482958732
10245,300,1.92377899379885
10246,400,1.92076223001708
10247,1,1.63988051573226
10250,45,1.74811703042682
10251,89,2.59343414516556
10253,200,2.08778353387289
10254,229.97,1.85941973812355
10255,0.99,0.392269267346383
10256,40,1.70851019332302
10258,0.99,0.48370358120145
10261,250,1.78328685177453
10262,59.95,1.98764669108657
10263,50,1.74530283243097
10264,225,1.73565692065986
10265,80,1.74811703042682
10268,200,1.73131482958732
10269,100,1.74811703042682
10270,29.99,1.27545796831578
10271,75,1.42421421749745
10273,150,1.92377899379885
10275,78,1.58440452443835
10276,19.95,1.69012481095801
10278,100,1.74811703042682
10280,329.99,1.49072676879162
10281,0.01,0.849329518504601
10283,20,1.5075692814128
10284,100,1.92076223001708
10285,0.01,1.57963066929704
10286,41,1.77552881829266
10288,74.99,1.06766535100922
10289,250,1.76256479503526
10290,50,1.51757606446791
10291,0.99,0.572323697060667
10292,0.99,0.466901380361949
10293,5,1.79929193611513
10294,19.99,1.85941973812355
10295,50,1.70851019332302
10296,89.99,1.40368492127881
10297,490,2.25613910330348
10298,99,2.92349578744758
10299,200,1.73131482958732
10300,39.99,1.24681026827662
10301,58,1.70851019332302
10302,225,1.68569938489565
10303,50,1.69585022007103
10304,200,1.92076223001708
10305,0.99,0.290768242812573
10307,250,2.00074168636008
10309,25,1.73131482958732
10310,100,1.69312873937844
10311,185,1.77295823921728
10313,99.99,1.39198606099511
10314,500,2.00780407752988
10318,9.99,1.16422011442017
10321,19.95,1.85941973812355
10322,5,1.73131482958732
10323,100,1.77113879724143
10324,70,1.70851019332302
10326,125,1.74530283243097
10327,0.99,0.438345898073371
10329,97.5,1.83187022611282
10330,0.1,1.8168168317302
10331,100,1.76839624753967
10333,20,1.65901894786156
10334,99.75,2.85284116472288
10336,70,1.74811703042682
10337,100,1.7561379103649
10338,400,2.00074168636008
10339,48,1.70851019332302
10340,0.99,-0.148958049016021
10341,40,1.79929193611513
10342,295,2.10051084223007
10344,310,2.17921784772796
10345,80,1.57683909068536
10347,150,1.83673714628604
10348,99.99,1.3308632717224
10349,40,1.59583434256713
10351,140,1.74811703042682
10352,50,1.59104274290874
10354,100,1.74530283243097
10355,74,1.76536255993654
10356,134.61,1.73131482958732
10357,100,1.60866157911166
10358,125,1.74811703042682
10360,0.99,0.451154138838882
10361,75,1.70851019332302
10363,149.99,1.25373782819555
10364,75,1.70851019332302
10365,1,1.77408031387041
10368,149.99,1.31225060742374
10370,99,2.8472890178687
10371,0.99,0.392269267346383
10372,75,1.74811703042682
10373,120,1.73131482958732
10376,150,1.85312437107415
10378,242,1.82932791616201
10379,9.99,1.23906502570749
10380,50,1.74811703042682
10383,264.95,1.06199924506616
10384,75,1.56469415491717
10387,49.99,1.06540381837739
10388,187,1.68031806150287
10389,100,1.56601947684902
10391,29.99,1.31506480541959
10392,150,1.92377899379885
10393,71,1.73131482958732
10395,90,1.91647259985742
10396,150,1.74811703042682
10397,0.99,0.202777030877713
10398,0.99,0.945030384364273
10399,299,3.06915828131219
10400,30,1.64730186532964
10401,0.99,0.285785448646466
10402,0.01,1.69071032695637
10403,0.99,0.251783132601308
10404,179,2.62648516884258
10405,75,1.61707587946795
10406,70,1.6308155434705
10407,99.99,1.51314454808446
10408,99.99,1.48342037485018
10410,400,1.83123055975373
10411,150,1.74530283243097
10412,90,1.91647259985742
10413,120,1.84757222421997
10415,33,1.61707587946795
10416,89.99,1.29826260458009
10417,115,1.71472431722406
10418,130,1.74811703042682
10419,9.5,1.94140386894809
10420,0.99,0.518559058290657
10421,0.99,0.32597672262041
10422,0.99,0.4808893832056
10423,350,1.76169005721908
10425,200,1.77356863347304
10427,245,1.82932791616201
10430,89,2.57009740340285
10431,0.99,0.375467066506881
10435,250,1.73131482958732
10437,100,1.61329181084007
10438,1,2.05644342782115
10439,299,2.92047902366581
10441,0.99,0.235194979828294
10442,9.99,1.29826260458009
10443,50,1.68764294191606
10444,25,1.65668271657176
10445,99.99,1.5884277154975
10446,0.01,1.56233440788475
10447,248.18,1.7561379103649
10448,50,1.61707587946795
10449,200,1.5053203020338
10450,0.99,0.153208864020566
10452,1.99,0.581366294131557
10454,125,1.85312437107415
10455,190,1.80823608516285
10456,150,1.85312437107415
10457,125,1.74811703042682
10459,0.99,0.598157216580096
10460,0.99,0.4808893832056
10462,199,2.83645393993477
10463,40,1.74811703042682
10464,75,1.79281543079844
10467,249.98,1.91656209507165
10468,299,2.92047902366581
10470,19.99,1.85941973812355
10472,200,1.73131482958732
10473,249,2.75514021801699
10474,125,1.74811703042682
10475,1,1.65668271657176
10476,60,1.74530283243097
10477,179.99,1.32848859044178
10478,5,1.79929193611513
10479,90,1.91647259985742
10480,0.99,0.352662430242576
10481,50,1.53012102668752
10484,50,1.70851019332302
10486,1,1.82932791616201
10487,80,1.74811703042682
10488,40,1.74530283243097
10489,100,1.68408880847479
10491,5,1.6453997153226
10492,125,1.74530283243097
10493,49.99,1.31506480541959
10495,159.99,1.31225060742374
10496,130,1.74811703042682
10497,0.99,0.375467066506881
10499,111.5,1.66627436292254
10501,199.99,1.5884277154975
10502,160,1.85312437107415
10504,150,1.74811703042682
10505,75,1.74811703042682
10507,118,1.74530283243097
10509,250,1.84757222421997
10510,99,2.83645393993477
10511,150,1.83234467994378
10514,59.99,1.40368492127881
10516,92.49,1.24107651619458
10517,99,2.74501962607971
10519,149.99,1.25371836732769
10521,120,1.77834301628851
10524,200,1.84757222421997
10526,69,2.43259106950886
10527,300,1.73565692065986
10528,149,2.56966091464389
10529,150,1.67577087915733
10530,110,1.74530283243097
10531,99,2.79211664096158
10532,224.98,1.08444355582204
10533,99.99,1.56463126058536
10535,380,2.17921784772796
10536,149.99,1.35109148302461
10538,120,1.84757222421997
10540,99.99,1.16614407995097
10541,400,1.92076223001708
10542,0.01,1.6632954211941
10543,0.01,1.39950656773705
10545,99,2.83645393993477
10548,50,1.67397786768628
10549,300,2.08778353387289
10551,9.95,1.76798542426848
10552,59,2.41503342766375
10553,50,1.74530283243097
10556,72,1.70851019332302
10558,0.99,0.4808893832056
10561,0.01,1.65668271657176
10564,95,1.78543144889854
10566,45,1.83673714628604
10567,125,1.79735865139001
10569,150,1.74811703042682
10570,0.99,0.588710921848773
10571,199.99,1.50166536475712
10572,185,1.5834544485669
10573,201.99,0.587014315386833
10576,89.99,1.48771000500984
10577,279,2.56996768995894
10578,150,1.74530283243097
10579,0.99,0.386866305028328
10580,49.99,1.48771000500984
10581,75,1.47830942114843
10582,149.99,1.22241974779326
10584,249,2.59856571707576
10585,0.99,0.53487848688976
10588,111,1.74811703042682
10589,100,1.74811703042682
10592,300,1.83673714628604
10593,100,1.73133209813939
10595,113,1.83673714628604
10598,180,1.8000146308907
10599,99.99,1.48342037485018
10600,30,1.66088070636861
10602,275,1.70785762226007
10603,94.99,0.612452313528235
10604,0.99,0.466901380361949
10606,0.99,0.4808893832056
10607,210,1.88633378362794
10608,179,2.56267605380546
10615,200,1.76169005721908
10616,150,1.74530283243097
10617,0.99,0.512647025617403
10618,100,1.76116029561987
10619,395,2.0490404102985
10620,9.99,1.23023915980417
10621,125,1.4589877429696
10623,9.99,1.27761959524868
10624,0.01,0.81761829428272
10626,60,1.6790418810576
10627,39.99,1.33797930055162
10628,175,1.74811703042682
10631,0.01,1.68618029904418
10633,50,1.66566182205669
10634,145,1.9475648698403
10635,9.95,1.8587671670606
10636,299,2.85137559170203
10639,49.95,1.95906802116034
10640,0.99,0.659365544573476
10641,159,2.56267605380546
10642,50,1.63988051573226
10646,149.99,1.24987762341674
10648,79.99,1.82237238561182
10652,200,1.89742484893978
10653,200,1.89716886156187
10654,220,1.73131482958732
10656,225,1.82932791616201
10657,0.99,0.473978484248715
10658,100,1.61707587946795
10659,0.01,1.69071032695637
10661,55,1.68358921442692
10662,100,1.65634309167507
10666,0.01,1.51361587745297
10669,0.99,0.588710921848773
10670,50,1.61707587946795
10671,400,1.79191604308077
10672,99.99,1.58287556864332
10673,179.99,1.31506480541959
10677,79,2.44320807059441
10678,99,2.73103162323605
10680,239.99,1.50156184672554
10683,140,1.67892361943084
10684,139.99,1.42007214606691
10685,99.99,1.5720404907094
10687,80,1.49850296002218
10688,0.99,0.495457123254857
10691,449.99,1.25016796623289
10692,49.99,1.23429338137031
10694,149,2.58448458793088
10695,175,1.82883994079612
10696,150,1.79281390624202
10697,50,1.51663338494707
10698,1,1.65187777963076
10699,9.99,1.24320619109563
10702,80,1.85312437107415
10703,218,1.85312437107415
10704,0.99,0.588710921848773
10705,210,1.77318168900288
10706,150,1.69165452397756
10708,0.99,0.409171682299833
10712,0.99,0.387191434074217
10713,9.99,1.24320619109563
10714,112,1.69092183650531
10715,89.99,1.51618260995791
10716,80,1.85312437107415
10720,10,1.67010650159394
10721,99.99,1.41559342089344
10722,244.96,1.07492547460083
10723,56,1.5937860443104
10725,129.99,1.40368492127881
10726,0.99,0.494100199344903
10727,150,1.92076223001708
10728,79.97,1.89902657522736
10729,0.99,0.519693042023574
10730,300,2.00780407752988
10731,459,2.91914475809103
10734,19.99,1.87017924067229
10736,99.97,2.26213474038915
10738,350,2.17921784772796
10740,100,1.69718953393421
10741,199.97,2.09061567872696
10743,90,1.78543144889854
10745,174,1.88633378362794
10748,350,1.51170637733295
10749,95,1.89967039901791
10750,0.99,0.366255465189833
10752,265,1.69734453285354
